time, palm_pos, vel, avg_vel, avg_vel_schm, avg_acc, avg_acc_schm
1542730326.594695, 166.747299, 189.867004, -67.859441, -67.859441, 735.935059, 735.935059
1542730326.600439, 166.747299, 189.867004, -59.842345, -59.842345, 801.709572, 801.709572
1542730326.605706, 169.272659, 165.722992, -51.295014, -51.295014, 854.733155, 854.733155
1542730326.611795, 169.272659, 165.722992, -42.095288, -42.095288, 919.972570, 919.972570
1542730326.617263, 169.272659, 165.722992, -32.440640, -32.440640, 965.464794, 965.464794
1542730326.622504, 171.500381, 145.601089, -22.467400, -22.467400, 997.324027, 997.324027
1542730326.627960, 171.500381, 145.601089, -12.065698, -20.000000, 1040.170205, 1040.170205
1542730326.633263, 171.500381, 145.601089, -1.457903, -20.000000, 1060.779514, 1060.779514
1542730326.639107, 172.944077, 114.395149, 9.182171, 20.000000, 1064.007350, 1064.007350
1542730326.644586, 172.944077, 114.395149, 19.846682, 20.000000, 1066.451136, 1066.451136
1542730326.650124, 172.944077, 114.395149, 30.513146, 30.513146, 1066.646382, 1066.646382
1542730326.655787, 173.620087, 77.799240, 40.916831, 40.916831, 1040.368489, 1040.368489
1542730326.661738, 173.620087, 77.799240, 51.065416, 51.065416, 1014.858537, 1014.858537
1542730326.667565, 173.620087, 77.799240, 60.892414, 60.892414, 982.699786, 982.699786
1542730326.673472, 173.892807, 47.840530, 70.285764, 70.285764, 939.334966, 939.334966
1542730326.678857, 173.892807, 47.840530, 79.083565, 79.083565, 879.780153, 879.780153
1542730326.684679, 173.892807, 47.840530, 87.319806, 87.319806, 823.624085, 823.624085
1542730326.690826, 173.892807, 47.840530, 94.902432, 94.902432, 758.262584, 758.262584
1542730326.696349, 173.886673, 24.976490, 101.711870, 101.711870, 680.943790, 680.943790
1542730326.702249, 173.886673, 24.976490, 107.755054, 107.755054, 604.318421, 604.318421
1542730326.707660, 173.886673, 24.976490, 113.000431, 113.000431, 524.537646, 524.537646
1542730326.713103, 173.570740, 4.827889, 117.365707, 117.365707, 436.527679, 436.527679
1542730326.718313, 173.570740, 4.827889, 120.890345, 120.890345, 352.463797, 352.463797
1542730326.723679, 173.570740, 4.827889, 123.479743, 123.479743, 258.939759, 258.939759
1542730326.729340, 171.852081, -42.581936, 125.089307, 125.089307, 160.956421, 160.956421
1542730326.734780, 171.852081, -42.581936, 125.857168, 125.857168, 76.786050, 150.000000
1542730326.740344, 171.852081, -42.581936, 125.681478, 125.681478, -17.568933, -150.000000
1542730326.746273, 169.158646, -93.373787, 124.551695, 124.551695, -112.978391, -150.000000
1542730326.751620, 169.158646, -93.373787, 122.631112, 122.631112, -192.058246, -192.058246
1542730326.757196, 169.158646, -93.373787, 119.846071, 119.846071, -278.504095, -278.504095
1542730326.762997, 165.703018, -139.789398, 116.199069, 116.199069, -364.700221, -364.700221
1542730326.768391, 165.703018, -139.789398, 111.854588, 111.854588, -434.448058, -434.448058
1542730326.773716, 165.703018, -139.789398, 106.766442, 106.766442, -508.814673, -508.814673
1542730326.779162, 165.703018, -139.789398, 101.062084, 101.062084, -570.435768, -570.435768
1542730326.784433, 162.349960, -161.522049, 94.733567, 94.733567, -632.851740, -632.851740
1542730326.790153, 162.349960, -161.522049, 87.898089, 87.898089, -683.547739, -683.547739
1542730326.796329, 162.349960, -161.522049, 80.463392, 80.463392, -743.469729, -743.469729
1542730326.802176, 162.349960, -161.522049, 72.631902, 72.631902, -783.148947, -783.148947
1542730326.807477, 162.349960, -161.522049, 64.244270, 64.244270, -838.763194, -838.763194
1542730326.812838, 158.206070, -192.302811, 55.471103, 55.471103, -877.316755, -877.316755
1542730326.818501, 158.206070, -192.302811, 46.442259, 46.442259, -902.884414, -902.884414
1542730326.824049, 154.699570, -194.257263, 37.197172, 37.197172, -924.508717, -924.508717
1542730326.829379, 154.699570, -194.257263, 27.788578, 27.788578, -940.859316, -940.859316
1542730326.835107, 154.699570, -194.257263, 18.073895, 20.000000, -971.468366, -971.468366
1542730326.840357, 151.510056, -186.213669, 8.293630, 20.000000, -978.026517, -978.026517
1542730326.846205, 151.510056, -186.213669, -1.592489, -20.000000, -988.611901, -988.611901
1542730326.851839, 151.510056, -186.213669, -11.499181, -20.000000, -990.669127, -990.669127
1542730326.857098, 149.548386, -149.291794, -21.290536, -21.290536, -979.135520, -979.135520
1542730326.862397, 149.548386, -149.291794, -31.029412, -31.029412, -973.887657, -973.887657
1542730326.867573, 149.548386, -149.291794, -40.647960, -40.647960, -961.854709, -961.854709
1542730326.873369, 148.544647, -103.955048, -50.000379, -50.000379, -935.241937, -935.241937
1542730326.878976, 148.544647, -103.955048, -59.162814, -59.162814, -916.243545, -916.243545
1542730326.884798, 148.544647, -103.955048, -68.013886, -68.013886, -885.107160, -885.107160
1542730326.890997, 148.544647, -103.955048, -76.565555, -76.565555, -855.166896, -855.166896
1542730326.896611, 148.453323, -57.385201, -84.638206, -84.638206, -807.265135, -807.265135
1542730326.901902, 148.453323, -57.385201, -92.250231, -92.250231, -761.202475, -761.202475
1542730326.907327, 148.453323, -57.385201, -99.400324, -99.400324, -715.009299, -715.009299
1542730326.912565, 148.671051, -24.394083, -105.946938, -105.946938, -654.661428, -654.661428
1542730326.918438, 148.671051, -24.394083, -111.844152, -111.844152, -589.721405, -589.721405
1542730326.923628, 148.671051, -24.394083, -117.127799, -117.127799, -528.364672, -528.364672
1542730326.929064, 151.242905, 54.812401, -121.537409, -121.537409, -440.960966, -440.960966
1542730326.934436, 151.242905, 54.812401, -125.143961, -125.143961, -360.655192, -360.655192
1542730326.940006, 151.242905, 54.812401, -127.998467, -127.998467, -285.450602, -285.450602
1542730326.945814, 151.242905, 54.812401, -130.062231, -130.062231, -206.376464, -206.376464
1542730326.951316, 156.478851, 166.427963, -130.999783, -130.999783, -93.755117, -150.000000
1542730326.956613, 156.478851, 166.427963, -131.003298, -131.003298, -0.351579, -150.000000
1542730326.962278, 162.452713, 244.555923, -129.901818, -129.901818, 110.148018, 150.000000
1542730326.968068, 162.452713, 244.555923, -127.875650, -127.875650, 202.616793, 202.616793
1542730326.973451, 162.452713, 244.555923, -124.828416, -124.828416, 304.723410, 304.723410
1542730326.978777, 162.452713, 244.555923, -120.801358, -120.801358, 402.705820, 402.705820
1542730326.984075, 167.810425, 269.055023, -115.719514, -115.719514, 508.184390, 508.184390
1542730326.989486, 167.810425, 269.055023, -109.597059, -109.597059, 612.245452, 612.245452
1542730326.994741, 167.810425, 269.055023, -102.501377, -102.501377, 709.568236, 709.568236
1542730327.000132, 172.653870, 268.119934, -94.461678, -94.461678, 803.969914, 803.969914
1542730327.005912, 172.653870, 268.119934, -85.380462, -85.380462, 908.121592, 908.121592
1542730327.011177, 172.653870, 268.119934, -75.432612, -75.432612, 994.784959, 994.784959
1542730327.016549, 172.653870, 268.119934, -64.675448, -64.675448, 1075.716469, 1075.716469
1542730327.021916, 176.792114, 249.230164, -53.085355, -53.085355, 1159.009245, 1159.009245
1542730327.027588, 176.792114, 249.230164, -40.822586, -40.822586, 1226.276914, 1226.276914
1542730327.033000, 176.792114, 249.230164, -27.972070, -27.972070, 1285.051665, 1285.051665
1542730327.038227, 179.599274, 205.126251, -14.617010, -20.000000, 1335.505923, 1335.505923
1542730327.044106, 179.599274, 205.126251, -0.861461, -20.000000, 1375.554944, 1375.554944
1542730327.051485, 179.599274, 205.126251, 13.185217, 20.000000, 1404.667755, 1404.667755
1542730327.057448, 179.599274, 205.126251, 27.408510, 27.408510, 1422.329335, 1422.329335
1542730327.063014, 181.500824, 153.990112, 41.611614, 41.611614, 1420.310396, 1420.310396
1542730327.068293, 181.500824, 153.990112, 55.754734, 55.754734, 1414.311963, 1414.311963
1542730327.073506, 182.409683, 107.367516, 69.582555, 69.582555, 1382.782131, 1382.782131
1542730327.079307, 182.409683, 107.367516, 83.093462, 83.093462, 1351.090693, 1351.090693
1542730327.086582, 182.771179, 65.859085, 96.156420, 96.156420, 1306.295831, 1306.295831
1542730327.092582, 182.771179, 65.859085, 108.620902, 108.620902, 1246.448185, 1246.448185
1542730327.097961, 182.771179, 65.859085, 120.403012, 120.403012, 1178.210971, 1178.210971
1542730327.103892, 182.814255, 35.686810, 131.317388, 131.317388, 1091.437639, 1091.437639
1542730327.109286, 182.814255, 35.686810, 141.343068, 141.343068, 1002.567964, 1002.567964
1542730327.114696, 182.814255, 35.686810, 150.391744, 150.391744, 904.867629, 904.867629
1542730327.120158, 182.814255, 35.686810, 158.367542, 158.367542, 797.579783, 797.579783
1542730327.125590, 183.268890, 30.679743, 165.234805, 165.234805, 686.726335, 686.726335
1542730327.131109, 183.268890, 30.679743, 170.939654, 170.939654, 570.484850, 570.484850
1542730327.136705, 183.268890, 30.679743, 175.367603, 175.367603, 442.794955, 442.794955
1542730327.142530, 183.433228, 20.413555, 178.579397, 178.579397, 321.179364, 321.179364
1542730327.148380, 183.433228, 20.413555, 180.608249, 180.608249, 202.885200, 202.885200
1542730327.154099, 183.433228, 20.413555, 181.346733, 181.346733, 73.848447, 150.000000
1542730327.159688, 180.160538, -75.273994, 180.685707, 180.685707, -66.102594, -150.000000
1542730327.165181, 180.160538, -75.273994, 178.924260, 178.924260, -176.144743, -176.144743
1542730327.170458, 180.160538, -75.273994, 176.103574, 176.103574, -282.068608, -282.068608
1542730327.175899, 180.160538, -75.273994, 172.147367, 172.147367, -395.620719, -395.620719
1542730327.181173, 180.160538, -75.273994, 167.245877, 167.245877, -490.149007, -490.149007
1542730327.186574, 176.381638, -139.053223, 161.298360, 161.298360, -594.751705, -594.751705
1542730327.191921, 176.381638, -139.053223, 154.465842, 154.465842, -683.251795, -683.251795
1542730327.197407, 176.381638, -139.053223, 146.915212, 146.915212, -755.062951, -755.062951
