time, a_x, a_y, a_z, g_x, g_y, g_z, deltat 
1574112032, 39, 213, 1836, -583, -538, 227, 0.013467
1574112032, 8, 339, 1738, -576, -141, 399, 0.013419
1574112032, -53, 646, 1549, -374, 148, 588, 0.013433
1574112032, -182, 908, 1649, -177, 316, 633, 0.013456
1574112032, -242, 1038, 1879, -265, 152, 555, 0.013478
1574112032, -203, 1277, 1626, -267, -114, 451, 0.013461
1574112032, -256, 1429, 1832, -317, -361, 393, 0.013690
1574112032, -289, 1559, 1783, -347, -531, 453, 0.013426
1574112032, -199, 1591, 1758, -339, -559, 605, 0.013910
1574112032, 74, 1499, 1849, -409, -242, 784, 0.013439
1574112032, 268, 1431, 1834, -291, 222, 864, 0.013416
1574112032, 265, 1279, 2106, -219, 375, 747, 0.013436
1574112032, 227, 1159, 2108, -178, 264, 536, 0.013418
1574112032, 221, 1092, 2001, -64, 120, 341, 0.013471
1574112032, 174, 964, 1912, 15, 155, 288, 0.013646
1574112032, 166, 886, 1785, 31, 268, 322, 0.013452
1574112032, 122, 784, 1812, -9, 378, 345, 0.013415
1574112032, 117, 570, 2009, -60, 383, 295, 0.013430
1574112032, 92, 459, 2060, 29, 113, 132, 0.013412
1574112032, 116, 444, 1909, 244, -98, 48, 0.013477
1574112032, 127, 419, 1918, 159, -161, 55, 0.013496
1574112032, 237, 296, 1998, -16, -25, 73, 0.013676
1574112032, 278, 159, 2001, -65, 74, -25, 0.013439
1574112032, 183, 104, 2015, 64, 127, -122, 0.013441
1574112032, 134, 108, 1956, 144, 140, -163, 0.013439
1574112032, 23, 145, 1916, 137, 70, -192, 0.013416
1574112032, 2, 101, 1896, 80, 106, -188, 0.013477
1574112032, -1, 102, 1797, 111, 106, -201, 0.013454
1574112033, -46, 111, 1831, 124, 143, -205, 0.013484
1574112033, -79, 78, 1768, 74, 152, -209, 0.013649
1574112033, -52, 44, 1815, 8, 133, -222, 0.013512
1574112033, -33, 36, 1755, -1, 145, -199, 0.013457
1574112033, -57, 9, 1828, 17, 147, -186, 0.013443
1574112033, -79, 34, 1791, 66, 114, -161, 0.013415
1574112033, -73, 56, 1750, 59, 71, -134, 0.013430
1574112033, -67, 62, 1748, 53, 78, -104, 0.013453
1574112033, 3, 65, 1806, 57, 75, -98, 0.013463
1574112033, 31, 56, 1830, 93, 3, -124, 0.013664
1574112033, 17, 121, 1742, 144, 2, -110, 0.013439
1574112033, 14, 148, 1732, 103, 45, -57, 0.013436
1574112033, 23, 120, 1759, 54, 81, -19, 0.013416
1574112033, 79, 110, 1727, 23, 60, -31, 0.013432
1574112033, 72, 117, 1738, 49, 42, -77, 0.013412
1574112033, 47, 100, 1730, 49, 55, -99, 0.013465
1574112033, 25, 79, 1801, -1, 41, -111, 0.013662
1574112033, 2, 62, 1748, 57, 15, -121, 0.013474
1574112033, -10, 79, 1788, 90, -44, -121, 0.013415
1574112033, 25, 74, 1799, 86, -77, -118, 0.013428
1574112033, 61, 94, 1768, 35, -89, -127, 0.013436
1574112033, 68, 87, 1794, -5, -55, -114, 0.013412
1574112033, 50, 57, 1803, -22, -32, -121, 0.013436
1574112033, 36, 61, 1800, -42, -74, -120, 0.013449
1574112033, 24, 50, 1815, -71, -74, -89, 0.013672
1574112033, 44, 19, 1808, -43, -52, -66, 0.013436
1574112033, 70, 3, 1853, 11, -82, -108, 0.013443
1574112033, 39, 30, 1813, -15, -126, -142, 0.013466
1574112033, 20, 31, 1822, -35, -162, -145, 0.013474
1574112033, 2, 35, 1768, -46, -116, -105, 0.013422
1574112033, 32, 25, 1791, -24, -63, -62, 0.013482
