time, roll, pitch, heading 
1574070988.725833, 18.750233, -15.299629, 0.000000
1574070988.739963, 20.326157, -14.811293, 0.000000
1574070988.757400, 21.667150, -15.685526, 0.000000
1574070988.765745, 22.385109, -14.953600, 0.000000
1574070988.779864, 23.775776, -14.482774, 0.000000
1574070988.792769, 25.606598, -14.622804, 0.000000
1574070988.808159, 27.361032, -14.612553, 0.000000
1574070988.819905, 27.385151, -15.315800, 0.000000
1574070988.832969, 27.266403, -15.900455, 0.000000
1574070988.847123, 28.870110, -16.287338, 0.000000
1574070988.862098, 30.342268, -17.130186, 0.000000
1574070988.873939, 32.063652, -16.988880, 0.000000
1574070988.887126, 32.583668, -17.961859, 0.000000
1574070988.900391, 32.406754, -18.408710, 0.000000
1574070988.913420, 32.245571, -18.765108, 0.000000
1574070988.927637, 33.530586, -18.172966, 0.000000
1574070988.940689, 34.048382, -17.561550, 0.000000
1574070988.958384, 35.413662, -16.994568, 0.000000
1574070988.969168, 36.769615, -17.852533, 0.000000
1574070988.980945, 38.230377, -18.410093, 0.000000
1574070988.995099, 38.292191, -18.022924, 0.000000
1574070989.008217, 38.610809, -18.997675, 0.000000
1574070989.021401, 38.703140, -19.960850, 0.000000
1574070989.035433, 40.188148, -20.120899, 0.000000
1574070989.048655, 41.572441, -20.417852, 0.000000
1574070989.063894, 41.377998, -21.156300, 0.000000
1574070989.076719, 41.229507, -21.623652, 0.000000
1574070989.094541, 41.127563, -22.194174, 0.000000
1574070989.103013, 42.411522, -22.995064, 0.000000
1574070989.118530, 43.961033, -23.124445, 0.000000
1574070989.137538, 44.057129, -22.722528, 0.000000
1574070989.142332, 44.442776, -22.002405, 0.000000
1574070989.155423, 44.901230, -23.085148, 0.000000
1574070989.171922, 46.284454, -23.828970, 0.000000
1574070989.182595, 47.469025, -24.666073, 0.000000
1574070989.196544, 47.937027, -25.690651, 0.000000
1574070989.209570, 49.348446, -26.386555, 0.000000
1574070989.222831, 48.440472, -27.031219, 0.000000
1574070989.236116, 49.118420, -26.801050, 0.000000
1574070989.279121, 48.870903, -26.517969, 0.000000
1574070989.280387, 50.169853, -25.673111, 0.000000
1574070989.289747, 50.633915, -24.606659, 0.000000
1574070989.303990, 50.629093, -24.218214, 0.000000
1574070989.315937, 51.828396, -23.519022, 0.000000
1574070989.331447, 53.364006, -23.600698, 0.000000
1574070989.344443, 54.465298, -24.432858, 0.000000
