time, a_x, a_y, a_z, g_x, g_y, g_z, deltat 
1574070988.200932, 0.132324, 0.063477, 0.978027, 7.141113, -16.113281, 0.305176, 0.013379
1574070988.215551, 0.069336, 0.016113, 0.864746, 12.817383, -26.000977, 3.479004, 0.013360
1574070988.228566, 0.057617, 0.027832, 0.861816, 16.662598, -18.798828, 2.136230, 0.013382
1574070988.242428, 0.073242, -0.019531, 0.794922, 15.869141, -9.399414, 0.671387, 0.013374
1574070988.255236, 0.115234, 0.054688, 0.943848, 17.395020, 1.953125, -2.258301, 0.013409
1574070988.268530, 0.114258, 0.028320, 0.925293, 20.751953, -1.892090, -0.549316, 0.013610
1574070988.282419, 0.133301, 0.017090, 0.871094, 27.587891, 2.380371, -2.807617, 0.013389
1574070988.295712, 0.102539, 0.037598, 0.891602, 28.442383, 2.746582, -4.455566, 0.013361
1574070988.310022, 0.062500, 0.047852, 0.856445, 28.198242, 10.253906, -5.554199, 0.013379
1574070988.322843, 0.070801, 0.075195, 0.953613, 27.770996, 6.713867, -4.516602, 0.013360
1574070988.336113, 0.100098, 0.081543, 0.895508, 26.489258, -8.483887, 1.403809, 0.013382
1574070988.353911, 0.115723, 0.068848, 0.943359, 19.165039, -6.774902, 0.671387, 0.013393
1574070988.364663, 0.124512, 0.080078, 0.937012, 18.066406, -12.268066, 0.305176, 0.013634
1574070988.376200, 0.059570, 0.048828, 0.884277, 32.165527, -1.586914, -2.502441, 0.013370
1574070988.390407, 0.065918, 0.078125, 0.870117, 35.644531, -1.831055, -5.432129, 0.013370
1574070988.403362, 0.059082, 0.132324, 0.950684, 32.714844, -4.577637, -1.464844, 0.013385
1574070988.416810, 0.097656, 0.136719, 0.992676, 31.372070, -18.615723, 5.615234, 0.013364
1574070988.429783, 0.075684, 0.083496, 0.835938, 35.705566, -19.165039, 6.713867, 0.013385
1574070988.446290, 0.117188, 0.108887, 0.855469, 36.376953, -14.526367, 5.371094, 0.013373
1574070988.457122, 0.122559, 0.124512, 0.894531, 34.362793, -13.977051, 2.014160, 0.013409
1574070988.470209, 0.107910, 0.133301, 0.878418, 34.057617, -15.625000, 1.159668, 0.013595
1574070988.487847, 0.184570, 0.112793, 0.839844, 34.851074, -19.042969, 1.953125, 0.013389
1574070988.496578, 0.144043, 0.141602, 0.858887, 29.357910, -20.751953, -0.671387, 0.013367
1574070988.509602, 0.142578, 0.168945, 0.914551, 29.724121, -21.789551, 2.136230, 0.013376
1574070988.523628, 0.147949, 0.113281, 0.885254, 33.386230, -27.038574, -2.014160, 0.013357
1574070988.536786, 0.143066, 0.168457, 0.876465, 37.170410, -27.221680, -3.662109, 0.013379
1574070988.550210, 0.181152, 0.151367, 0.835449, 40.100098, -29.602051, -1.342773, 0.013381
1574070988.563273, 0.180664, 0.195312, 0.837891, 34.362793, -28.320312, -0.366211, 0.013411
1574070988.577525, 0.183594, 0.192871, 0.864258, 30.578613, -23.742676, -1.403809, 0.013612
1574070988.591502, 0.139160, 0.197266, 0.858398, 34.606934, -20.263672, -0.122070, 0.013375
1574070988.604472, 0.194336, 0.220703, 0.890625, 40.039062, -17.150879, 2.746582, 0.013385
1574070988.616541, 0.170410, 0.198242, 0.882812, 44.372559, -12.817383, 1.586914, 0.013371
1574070988.630706, 0.237793, 0.204102, 0.850586, 50.964355, -12.939453, -0.183105, 0.013381
1574070988.643673, 0.230957, 0.203613, 0.839355, 46.813965, -16.174316, -5.371094, 0.013364
1574070988.660208, 0.179688, 0.267090, 0.877930, 40.161133, -18.676758, -4.882812, 0.013406
1574070988.670864, 0.215820, 0.296875, 0.856445, 40.100098, -20.446777, -0.610352, 0.013609
1574070988.684679, 0.208984, 0.307617, 0.891602, 42.419434, -17.822266, 3.784180, 0.013401
1574070988.698145, 0.231445, 0.243652, 0.880859, 51.574707, -19.836426, 4.150391, 0.013363
1574070988.711142, 0.261719, 0.260254, 0.884766, 53.955078, -17.822266, -0.061035, 0.013385
1574070988.723951, 0.243652, 0.259766, 0.842773, 56.091309, -21.972656, -4.638672, 0.013364
1574070988.739116, 0.173340, 0.341309, 0.799316, 63.720703, -12.390137, -2.929688, 0.013370
1574070988.756778, 0.239746, 0.288086, 0.727539, 66.955566, -9.521484, -0.488281, 0.013378
1574070988.764924, 0.204102, 0.348633, 0.876465, 50.415039, -15.441895, -4.028320, 0.013423
1574070988.778017, 0.212891, 0.364746, 0.826660, 55.419922, -19.836426, 2.197266, 0.013625
1574070988.792070, 0.196289, 0.328125, 0.681641, 69.885254, -9.033203, 0.244141, 0.013401
1574070988.807291, 0.211914, 0.397949, 0.737305, 65.063477, -8.422852, 4.089355, 0.013430
1574070988.819159, 0.251953, 0.372070, 0.793945, 59.082031, -14.709473, 5.065918, 0.013401
1574070988.832265, 0.243164, 0.379883, 0.779297, 53.161621, -28.747559, 3.112793, 0.013399
1574070988.845082, 0.252441, 0.414551, 0.779785, 52.917480, -25.512695, 4.272461, 0.013376
